fastq_file_path	batch_name	sample_name	used
/igo/delivery/share/ganeshk/Project_14730_B/DIANA_0617/Sample_125P_BASE_IGO_14730_4_B	125P_BASE_IGO_14730_4	125P_BASE_shCTRL,125P_BASE_shZFP36L2_3,125P_BASE_shZFP36L2_4	no
/igo/delivery/share/ganeshk/Project_14730_B/DIANA_0617/Sample_125P_HISC_IGO_14730_2_B	125P_HISC_IGO_14730_2	125P_HISC_shCTRL,125P_HISC_shZFP36L2_3,125P_HISC_shZFP36L2_4	no
/igo/delivery/share/ganeshk/Project_14730_B/DIANA_0617/Sample_146P_BASE_IGO_14730_3_B	146P_BASE_IGO_14730_3	146P_BASE_shCTRL,146P_BASE_shZFP36L2_3,146P_BASE_shZFP36L2_4	yes
/igo/delivery/share/ganeshk/Project_14730_B/DIANA_0617/Sample_146P_HISC_IGO_14730_1_B	146P_HISC_IGO_14730_1	146P_HISC_shCTRL,146P_HISC_shZFP36L2_3,146P_HISC_shZFP36L2_4	yes
/igo/delivery/share/ganeshk/Project_14730_B/DIANA_0617/Sample_SC-5_IGO_14730_C_1_B	SC-5_IGO_14730_C_1	Dedifferentiated_146P_shCtrl,Dedifferentiated_146P_shZFP36L2_3,Dedifferentiated_146P_shZFP36L2_4	no
/igo/delivery/share/ganeshk/Project_14730_B/DIANA_0617/Sample_SC-5_IGO_14730_C_1_B	SC-5_IGO_14730_C_1	Dedifferentiated_146P_shCtrl,Dedifferentiated_146P_shZFP36L2_3,Dedifferentiated_146P_shZFP36L2_4	no
/igo/delivery/share/ganeshk/Project_14730_B/DIANA_0617/Sample_125P_BASE_IGO_14730_4_B	125P_BASE_IGO_14730_4	125P_BASE_shCTRL,125P_BASE_shZFP36L2_3,125P_BASE_shZFP36L2_4	no
/igo/delivery/share/ganeshk/Project_14730_B/DIANA_0617/Sample_125P_HISC_IGO_14730_2_B	125P_HISC_IGO_14730_2	125P_HISC_shCTRL,125P_HISC_shZFP36L2_3,125P_HISC_shZFP36L2_4	no
/igo/delivery/share/ganeshk/Project_14730_B/DIANA_0617/Sample_146P_BASE_IGO_14730_3_B	146P_BASE_IGO_14730_3	146P_BASE_shCTRL,146P_BASE_shZFP36L2_3,146P_BASE_shZFP36L2_4	yes
/igo/delivery/share/ganeshk/Project_14730_B/DIANA_0617/Sample_146P_HISC_IGO_14730_1_B	146P_HISC_IGO_14730_1	146P_HISC_shCTRL,146P_HISC_shZFP36L2_3,146P_HISC_shZFP36L2_4	yes
/igo/delivery/share/ganeshk/Project_14730_B/DIANA_0617/Sample_125P_HISC_IGO_14730_2_B	125P_HISC_IGO_14730_2	125P_HISC_shCTRL,125P_HISC_shZFP36L2_3,125P_HISC_shZFP36L2_4	no
/igo/delivery/share/ganeshk/Project_14730_B/DIANA_0617/Sample_KG146P_dedifferentiation_repeat_IGO_15487_1_B	KG146P_dedifferentiation_repeat_IGO_15487_1	146P_dedifferentiation_shCtrl,146P_dedifferentiation_shZFP36L2_3,146P_dedifferentiation_shZFP36L2_4	yes
/igo/delivery/share/ganeshk/Project_14730_B/DIANA_0617/Sample_KG146P_dedifferentiation_repeat_IGO_15487_1_B	KG146P_dedifferentiation_repeat_IGO_15487_1	146P_dedifferentiation_shCtrl,146P_dedifferentiation_shZFP36L2_3,146P_dedifferentiation_shZFP36L2_4	yes
/igo/delivery/share/ganeshk/Project_14730_B/DIANA_0617/Sample_KG146P_dedifferentiation_repeat_IGO_15487_1_B	KG146P_dedifferentiation_repeat_IGO_15487_1	146P_dedifferentiation_shCtrl,146P_dedifferentiation_shZFP36L2_3,146P_dedifferentiation_shZFP36L2_4	yes
