batch_name	sample_name	sample_matrix_path	batch_path_to_cellbender
146Li_BASE_IGO_14730_G_2	KG146Li_BASE_shCtrl	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/raw.multiplex_copy/146Li_BASE_IGO_14730_G_2/demultiplex/KG146Li_BASE_shCtrl/count/sample_filtered_feature_bc_matrix/	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/output_new/cellbender/146Li_BASE_IGO_14730_G_2/output/cellbender.146Li_BASE_IGO_14730_G_2.combined.h5
146Li_BASE_IGO_14730_G_2	KG146Li_BASE_shZFP36L2_3	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/raw.multiplex_copy/146Li_BASE_IGO_14730_G_2/demultiplex/KG146Li_BASE_shZFP36L2_3/count/sample_filtered_feature_bc_matrix/	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/output_new/cellbender/146Li_BASE_IGO_14730_G_2/output/cellbender.146Li_BASE_IGO_14730_G_2.combined.h5
146Li_BASE_IGO_14730_G_2	KG146Li_BASE_shZFP36L2_4	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/raw.multiplex_copy/146Li_BASE_IGO_14730_G_2/demultiplex/KG146Li_BASE_shZFP36L2_4/count/sample_filtered_feature_bc_matrix/	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/output_new/cellbender/146Li_BASE_IGO_14730_G_2/output/cellbender.146Li_BASE_IGO_14730_G_2.combined.h5
146Li_dedifferentiation_IGO_14730_I_1	146Li_dedifferentiation_shCtrl	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/raw.multiplex_copy/146Li_dedifferentiation_IGO_14730_I_1/demultiplex/146Li_dedifferentiation_shCtrl/count/sample_filtered_feature_bc_matrix/	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/output_new/cellbender/146Li_dedifferentiation_IGO_14730_I_1/output/cellbender.146Li_dedifferentiation_IGO_14730_I_1.combined.h5
146Li_dedifferentiation_IGO_14730_I_1	146Li_dedifferentiation_shZFP36L2_3	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/raw.multiplex_copy/146Li_dedifferentiation_IGO_14730_I_1/demultiplex/146Li_dedifferentiation_shZFP36L2_3/count/sample_filtered_feature_bc_matrix/	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/output_new/cellbender/146Li_dedifferentiation_IGO_14730_I_1/output/cellbender.146Li_dedifferentiation_IGO_14730_I_1.combined.h5
146Li_dedifferentiation_IGO_14730_I_1	146Li_dedifferentiation_shZFP36L2_4	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/raw.multiplex_copy/146Li_dedifferentiation_IGO_14730_I_1/demultiplex/146Li_dedifferentiation_shZFP36L2_4/count/sample_filtered_feature_bc_matrix/	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/output_new/cellbender/146Li_dedifferentiation_IGO_14730_I_1/output/cellbender.146Li_dedifferentiation_IGO_14730_I_1.combined.h5
146Li_HISC_IGO_14730_G_1	KG146Li_HISC_shCtrl	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/raw.multiplex_copy/146Li_HISC_IGO_14730_G_1/demultiplex/KG146Li_HISC_shCtrl/count/sample_filtered_feature_bc_matrix/	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/output_new/cellbender/146Li_HISC_IGO_14730_G_1/output/cellbender.146Li_HISC_IGO_14730_G_1.combined.h5
146Li_HISC_IGO_14730_G_1	KG146Li_HISC_shZFP36L2_3	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/raw.multiplex_copy/146Li_HISC_IGO_14730_G_1/demultiplex/KG146Li_HISC_shZFP36L2_3/count/sample_filtered_feature_bc_matrix/	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/output_new/cellbender/146Li_HISC_IGO_14730_G_1/output/cellbender.146Li_HISC_IGO_14730_G_1.combined.h5
146Li_HISC_IGO_14730_G_1	KG146Li_HISC_shZFP36L2_4	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/raw.multiplex_copy/146Li_HISC_IGO_14730_G_1/demultiplex/KG146Li_HISC_shZFP36L2_4/count/sample_filtered_feature_bc_matrix/	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/output_new/cellbender/146Li_HISC_IGO_14730_G_1/output/cellbender.146Li_HISC_IGO_14730_G_1.combined.h5
146P_BASE_IGO_14730_3	146P_BASE_shCTRL	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/raw.multiplex_copy/146P_BASE_IGO_14730_3/demultiplex/146P_BASE_shCTRL/count/sample_filtered_feature_bc_matrix/	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/output_new/cellbender/146P_BASE_IGO_14730_3/output/cellbender.146P_BASE_IGO_14730_3.combined.h5
146P_BASE_IGO_14730_3	146P_BASE_shZFP36L2_3	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/raw.multiplex_copy/146P_BASE_IGO_14730_3/demultiplex/146P_BASE_shZFP36L2_3/count/sample_filtered_feature_bc_matrix/	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/output_new/cellbender/146P_BASE_IGO_14730_3/output/cellbender.146P_BASE_IGO_14730_3.combined.h5
146P_BASE_IGO_14730_3	146P_BASE_shZFP36L2_4	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/raw.multiplex_copy/146P_BASE_IGO_14730_3/demultiplex/146P_BASE_shZFP36L2_4/count/sample_filtered_feature_bc_matrix/	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/output_new/cellbender/146P_BASE_IGO_14730_3/output/cellbender.146P_BASE_IGO_14730_3.combined.h5
146P_HISC_IGO_14730_1	146P_HISC_shCTRL	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/raw.multiplex_copy/146P_HISC_IGO_14730_1/demultiplex/146P_HISC_shCTRL/count/sample_filtered_feature_bc_matrix/	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/output_new/cellbender/146P_HISC_IGO_14730_1/output/cellbender.146P_HISC_IGO_14730_1.combined.h5
146P_HISC_IGO_14730_1	146P_HISC_shZFP36L2_3	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/raw.multiplex_copy/146P_HISC_IGO_14730_1/demultiplex/146P_HISC_shZFP36L2_3/count/sample_filtered_feature_bc_matrix/	/data/chanjlab/CRC_ZFP36L2.092023/Organoid/output_new/cellbender/146P_HISC_IGO_14730_1/output/cellbender.146P_HISC_IGO_14730_1.combined.h5
